Segment,Modellreihe,Marke,Typ
MINIS,DACIA SPRING,DACIA,SPRING
MINIS,FIAT 500c,FIAT,500c
MINIS,FIAT 500,FIAT,500
MINIS,FIAT 500l,FIAT,500l
MINIS,FIAT PANDA,FIAT,PANDA
MINIS,HYUNDAI I10,HYUNDAI,I10
MINIS,KIA PICANTO,KIA,PICANTO
MINIS,RENAULT TWINGO,RENAULT,TWINGO
MINIS,NISSAN Micra,NISSAN,Micra
MINIS,FORD Ka/ka+,FORD,Ka/ka+
MINIS,OPEL Adam,OPEL,Adam
MINIS,SKODA Citigo,SKODA,Citigo
MINIS,PEUGEOT 108,PEUGEOT,108
MINIS,SEAT Mii,SEAT,Mii
MINIS,smart Forfour,smart,Forfour
MINIS,Kia Venga,Kia,Venga
MINIS,SMART FORTWO,SMART,FORTWO
MINIS,TOYOTA AYGO,TOYOTA,AYGO
MINIS,CITROEN C1,CITROEN,C1
MINIS,VW UP!,VW,UP!
KLEINWAGEN,AUDI A1,AUDI,A1
KLEINWAGEN,CITROEN C3,CITROEN,C3
KLEINWAGEN,DS DS3,DS,DS3
KLEINWAGEN,FORD C-max,FORD,C-max
KLEINWAGEN,FORD Grand C-max,FORD,Grand C-max
KLEINWAGEN,FORD FIESTA,FORD,FIESTA
KLEINWAGEN,FIAT Punto,FIAT,Punto
KLEINWAGEN,FIAT Grand punto,FIAT,Grand punto
KLEINWAGEN,FIAT Grande punto,FIAT,Grande punto
KLEINWAGEN,FIAT Sedici,FIAT,Sedici
KLEINWAGEN,FIAT Scudo,FIAT,Scudo
KLEINWAGEN,FIAT Punto evo,FIAT,Punto evo
KLEINWAGEN,FORD PUMA,FORD,PUMA
KLEINWAGEN,HONDA JAZZ,HONDA,JAZZ
KLEINWAGEN,HYUNDAI I20,HYUNDAI,I20
KLEINWAGEN,HYUNDAI Ix20,HYUNDAI,Ix20
KLEINWAGEN,LADA Vesta,LADA,Vesta
KLEINWAGEN,KIA RIO,KIA,RIO
KLEINWAGEN,MAZDA 2,MAZDA,2
KLEINWAGEN,FORD Ecosport,FORD,Ecosport
KLEINWAGEN,MG ROEWE 3,MG,ROEWE 3
KLEINWAGEN,MINI ONE cabrio,MINI,ONE cabrio
KLEINWAGEN,MINI ONE,MINI,ONE
KLEINWAGEN,MINI Cooper d,MINI,Cooper d
KLEINWAGEN,MINI Cooper s,MINI,Cooper s
KLEINWAGEN,MITSUBISHI COLT,MITSUBISHI,COLT
KLEINWAGEN,"MITSUBISHI MIRAGE, SPACE STAR",MITSUBISHI,"MIRAGE, SPACE STAR"
KLEINWAGEN,MINI Cooper,MINI,Cooper
KLEINWAGEN,MERCEDES B 180,MERCEDES,B 180
KLEINWAGEN,NISSAN Note,NISSAN,Note
KLEINWAGEN,NISSAN JUKE,NISSAN,JUKE
KLEINWAGEN,OPEL CORSA,OPEL,CORSA
KLEINWAGEN,PEUGEOT  206,PEUGEOT,206
KLEINWAGEN,PEUGEOT  207,PEUGEOT,207
KLEINWAGEN,PEUGEOT 208,PEUGEOT,208
KLEINWAGEN,RENAULT CLIO,RENAULT,CLIO
KLEINWAGEN,RENAULT ZOE,RENAULT,ZOE
